Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ireland,IRL,2007,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,94894151408.3026
Ireland,IRL,2006,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,80320884216.7084
Ireland,IRL,2005,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,71405831985.7003
Ireland,IRL,2018,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,85119030791.3738
Ireland,IRL,2017,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,75297536577.4298
Ireland,IRL,2016,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,76073095122.8722
Ireland,IRL,2015,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,76444494509.1813
Ireland,IRL,2014,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,64229451487.9374
Ireland,IRL,2013,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,46405493960.6915
Ireland,IRL,2012,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,42087819768.4058
Ireland,IRL,2011,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,40850357075.8387
Ireland,IRL,2010,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,37458289198.4127
Ireland,IRL,2009,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,35043049664.2151
Ireland,IRL,2008,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,35450512679.9349
Ireland,IRL,2007,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,24012890153.5298
Ireland,IRL,2006,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,22041813682.5763
Ireland,IRL,2005,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,19214895716.5571
Ireland,IRL,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,520693605819.708
Ireland,IRL,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,490136109629.711
Ireland,IRL,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,410793845025.791
Ireland,IRL,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,395565891355.293
Ireland,IRL,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,355993771284.683
Ireland,IRL,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,291695074016.232
Ireland,IRL,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,289035923697.392
Ireland,IRL,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,306767568621.597
Ireland,IRL,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,279332599631.313
Ireland,IRL,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,282049857150.473
Ireland,IRL,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,356116752990.818
Ireland,IRL,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,337595350136.733
Ireland,IRL,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,266749495950.267
Ireland,IRL,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,223942334677.434
Ireland,IRL,2018,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,1.67421094120591
Ireland,IRL,2017,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,1.26733500335217
Ireland,IRL,2016,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,1.26139500290632
Ireland,IRL,2015,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,1.77693908229221
Ireland,IRL,2014,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,1.68375528962676
Ireland,IRL,2013,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,1.84785116032959
Ireland,IRL,2012,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,1.92291767679689
Ireland,IRL,2011,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,1.97699266465818
Ireland,IRL,2010,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,2.01578770388934
Ireland,IRL,2009,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,2.15423423499633
Ireland,IRL,2008,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,2.5339630308942
Ireland,IRL,2007,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,2.987875385334
Ireland,IRL,2006,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,3.17223122967335
Ireland,IRL,2005,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,3.45280057397631
Ireland,IRL,2018,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,3.38011005564788
Ireland,IRL,2017,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,2.86065210370265
Ireland,IRL,2016,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,3.19210589519656
Ireland,IRL,2015,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,3.3580745134335
Ireland,IRL,2014,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,4.17991537163827
Ireland,IRL,2013,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,5.19262645925556
Ireland,IRL,2012,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,5.26732883029469
Ireland,IRL,2011,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,5.81409932004473
Ireland,IRL,2010,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,6.58950400891419
Ireland,IRL,2009,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,7.5336681934059
Ireland,IRL,2008,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,9.39579923992826
Ireland,IRL,2007,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,9.12040079219107
Ireland,IRL,2006,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,8.5472870566181
Ireland,IRL,2005,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,8.50451531173866
Ireland,IRL,2018,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,94359780058.9562
Ireland,IRL,2017,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,2954620331.82594
Ireland,IRL,2016,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,102215054768.185
Ireland,IRL,2015,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,190080108934.779
Ireland,IRL,2014,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,98497180298.9792
Ireland,IRL,2013,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,37592588729.9748
Ireland,IRL,2012,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,21327067510.7382
Ireland,IRL,2011,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,-1523057492.85038
Ireland,IRL,2010,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,16823038798.9899
Ireland,IRL,2009,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,54515156835.8242
Ireland,IRL,2008,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,58200250836.8677
Ireland,IRL,2007,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,55923867341.2453
Ireland,IRL,2006,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,42902430399.7168
Ireland,IRL,2005,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,91841198315.9094
Ireland,IRL,2004,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,18068825936.0663
Ireland,IRL,2003,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,5549448441.0305
Ireland,IRL,2002,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,11025363512.3053
Ireland,IRL,2001,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,4065288006.3713
Ireland,IRL,2000,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,4628708310.3004
Ireland,IRL,1999,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,6108922926.7856
Ireland,IRL,1998,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,3904756470
Ireland,IRL,1997,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,759806800
Ireland,IRL,1996,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,727967000
Ireland,IRL,1995,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,820864000
Ireland,IRL,1994,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,436715000
Ireland,IRL,1993,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,220008000
Ireland,IRL,1992,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,214387000
Ireland,IRL,1991,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,193144000
Ireland,IRL,1990,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,363884000
Ireland,IRL,1989,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1513291924.7038
Ireland,IRL,1988,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,750134146.2261
Ireland,IRL,1987,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,108206142.8658
Ireland,IRL,2018,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,24.6700303655928
Ireland,IRL,2017,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.88241344645405
Ireland,IRL,2016,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,34.0123562951894
Ireland,IRL,2015,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,65.2076265720524
Ireland,IRL,2014,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,38.1075025816922
Ireland,IRL,2013,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,15.7592148262576
Ireland,IRL,2012,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,9.47871840488286
Ireland,IRL,2011,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-0.641362001388496
Ireland,IRL,2010,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,7.57287099080477
Ireland,IRL,2009,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,23.0687144286796
Ireland,IRL,2008,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,21.1607346026504
Ireland,IRL,2007,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,20.7188401860468
Ireland,IRL,2006,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,18.4857761946303
Ireland,IRL,2005,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,43.3931571893601
Ireland,IRL,2004,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,9.32003991139266
Ireland,IRL,2003,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,3.37794619738635
Ireland,IRL,2002,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,8.61693964943536
Ireland,IRL,2001,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,3.7249998134162
Ireland,IRL,2000,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,4.63552446165987
Ireland,IRL,1999,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,6.18988167252919
Ireland,IRL,1998,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,4.33466643646729
Ireland,IRL,1997,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.917351436838585
Ireland,IRL,1996,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.95935813712181
Ireland,IRL,1995,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.18583195521163
Ireland,IRL,1994,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.763941378190574
Ireland,IRL,1993,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.419220549759734
Ireland,IRL,1992,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.382933046518157
Ireland,IRL,1991,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.387472681146102
Ireland,IRL,1990,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.737134324269228
Ireland,IRL,1989,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,3.85204819635849
Ireland,IRL,1988,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.98353033558686
Ireland,IRL,1987,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.318617509454928
Ireland,IRL,2018,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,6221076925.83335
Ireland,IRL,2017,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,6457297312.07726
Ireland,IRL,2016,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,5748982202.88725
Ireland,IRL,2015,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,5498965138.23113
Ireland,IRL,2014,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,7522816595.51615
Ireland,IRL,2013,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,5325147473.49278
Ireland,IRL,2012,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,6325205756.08252
Ireland,IRL,2011,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,6609835606.66937
Ireland,IRL,2010,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,6001924526.11832
Ireland,IRL,2009,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,6554880172.9799
Ireland,IRL,2008,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,7000424983.72434
Ireland,IRL,2007,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,5183696416.2027
Ireland,IRL,2006,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,4981280428.73055
Ireland,IRL,2005,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,4702226997.99802
Ireland,IRL,2018,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1659440307.95788
Ireland,IRL,2017,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1613257566.03686
Ireland,IRL,2016,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1541733180.5327
Ireland,IRL,2015,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1564584472.23325
Ireland,IRL,2014,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1960066799.23799
Ireland,IRL,2013,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1957655957.71235
Ireland,IRL,2012,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1995419364.19666
Ireland,IRL,2011,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,2194956463.94751
Ireland,IRL,2010,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,2266001454.83405
Ireland,IRL,2009,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,2550787027.0859
Ireland,IRL,2008,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,2672746704.51796
Ireland,IRL,2007,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,2519896788.50883
Ireland,IRL,2006,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1853312504.71345
Ireland,IRL,2005,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1440042290.39798
Ireland,IRL,2004,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,997123779.3
